industry,cost_pressure,talent_labour,competition_growth,regulation_compliance,global_strategy,growth_potential,automation_readiness,regional_expansion_fit
Finance and fintech,78,74,65,84,61,80,76,78
Technology and AI services,72,68,58,62,56,86,88,82
Pharmaceuticals and medtech,70,72,54,82,63,83,73,76
Advanced manufacturing (semiconductors),76,70,60,67,74,81,80,84
Logistics and supply chain,69,59,62,60,78,75,71,88
Professional services (legal and consulting),66,73,64,71,52,72,67,70
Oil and gas trading,64,55,58,73,80,58,62,74
Aerospace and MRO,68,64,50,69,72,66,69,79
Biotech and life sciences R&D,73,76,48,79,58,84,66,66
E-commerce and retail,71,52,74,55,68,73,79,86
Telecommunications,60,58,62,66,54,64,74,72
Real estate and construction,74,48,56,63,49,54,58,62
Hospitality and tourism,63,44,68,52,60,62,55,70
Marine and offshore engineering,66,57,52,65,76,60,64,80
Agri-food tech,58,55,44,58,55,77,68,73
EdTech,54,50,60,50,46,79,75,68
Healthcare services,67,71,46,80,42,70,60,58
Media and entertainment,57,49,66,48,55,65,72,64
Cybersecurity services,65,66,56,68,50,85,81,74
Renewable energy and cleantech,69,60,50,64,66,82,70,77
